,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Pressures,Pressures,Pressures,Pressures,Pressures,Pressures,Blocks,Blocks,Blocks,Blocks,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Clr,Err,Matches
83,Tahith Chong\Tahith-Chong,nl NED,FWMF,Manchester Utd,19,1999,0.4,0,0,0,0,0,0,0,,0,15,4,26.7,4,3,8,0,0,0,0,0,0,0,Matches
84,Hamza Choudhury\Hamza-Choudhury,eng ENG,MF,Leicester City,21,1997,8.9,19,13,8,9,2,5,26,19.2,21,174,58,33.3,75,78,21,20,7,0,13,27,17,0,Matches
85,Andreas Christensen\Andreas-Christensen,dk DEN,DF,Chelsea,23,1996,19.5,41,20,25,13,3,11,24,45.8,13,156,57,36.5,90,62,4,22,9,0,13,31,104,0,Matches
86,Ciaran Clark\Ciaran-Clark,ie IRL,DF,Newcastle Utd,29,1989,13.2,22,12,20,2,0,3,7,42.9,4,122,44,36.1,88,28,6,25,13,0,12,13,98,0,Matches
87,Leon Clarke\Leon-Clarke,eng ENG,MF,Sheffield Utd,34,1985,0.2,0,0,0,0,0,0,0,,0,9,4,44.4,2,5,2,0,0,0,0,0,0,0,Matches
88,Tom Cleverley\Tom-Cleverley,eng ENG,MF,Watford,29,1989,8.7,20,12,6,12,2,9,33,27.3,24,237,70,29.5,70,125,42,15,3,0,12,6,10,0,Matches
89,Conor Coady\Conor-Coady,eng ENG,DF,Wolves,26,1993,35.0,39,21,33,6,0,19,38,50.0,19,187,66,35.3,138,49,0,36,17,0,19,22,149,0,Matches
90,Séamus Coleman\Seamus-Coleman,ie IRL,DF,Everton,30,1988,18.8,46,28,28,15,3,19,30,63.3,11,196,69,35.2,102,72,22,38,8,0,30,24,53,1,Matches
91,Aaron Connolly\Aaron-Connolly,ie IRL,FW,Brighton,19,2000,13.0,8,6,1,4,3,3,12,25.0,9,225,68,30.2,13,89,123,8,1,0,7,0,1,0,Matches
92,Lewis Cook\Lewis-Cook,eng ENG,MF,Bournemouth,22,1997,14.5,26,16,15,9,2,8,40,20.0,32,361,69,19.1,123,185,53,20,6,0,14,21,15,0,Matches
93,Steve Cook\Steve-Cook,eng ENG,DF,Bournemouth,28,1991,24.0,20,11,14,6,0,8,21,38.1,13,149,49,32.9,104,37,8,42,25,0,17,42,206,1,Matches
94,Jack Cork\Jack-Cork,eng ENG,MF,Burnley,30,1989,29.0,39,27,10,21,8,11,65,16.9,54,605,173,28.6,146,347,112,53,12,0,41,29,57,0,Matches
95,Aaron Cresswell\Aaron-Cresswell,eng ENG,DF,West Ham,29,1989,28.5,46,29,24,18,4,23,56,41.1,33,336,110,32.7,175,125,36,62,9,0,53,32,84,2,Matches
96,Patrick Cutrone\Patrick-Cutrone,it ITA,FW,Wolves,21,1998,3.3,6,4,3,1,2,1,5,20.0,4,95,26,27.4,9,43,43,1,1,0,0,2,1,0,Matches
97,Diogo Dalot\Diogo-Dalot,pt POR,DF,Manchester Utd,20,1999,0.7,3,2,3,0,0,2,4,50.0,2,8,4,50.0,3,2,3,1,0,0,1,2,4,0,Matches
98,Charlie Daniels\Charlie-Daniels,eng ENG,DF,Bournemouth,32,1986,1.4,1,0,0,1,0,1,2,50.0,1,26,5,19.2,20,6,0,5,1,0,4,1,4,1,Matches
99,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,11.1,10,4,8,2,0,7,11,63.6,4,34,13,38.2,24,10,0,16,5,0,11,12,70,0,Matches
100,Kevin Danso\Kevin-Danso,at AUT,DF,Southampton,20,1998,3.1,8,4,4,4,0,5,8,62.5,3,41,10,24.4,26,13,2,9,4,0,5,3,15,0,Matches
101,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,12.9,26,10,11,12,3,5,19,26.3,14,186,55,29.6,91,76,19,35,10,0,25,19,53,1,Matches
102,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,20.0,31,14,11,15,5,6,44,13.6,38,394,90,22.8,141,200,53,31,4,0,27,28,27,1,Matches
103,Keinan Davis\Keinan-Davis,eng ENG,FW,Aston Villa,21,1998,5.3,2,2,0,2,0,0,3,0.0,3,82,18,22.0,3,46,33,5,1,0,4,0,2,0,Matches
104,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,23.2,26,17,13,11,2,10,25,40.0,15,164,63,38.4,94,61,9,52,32,1,20,27,148,0,Matches
105,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,29.0,40,24,11,17,12,11,57,19.3,46,523,156,29.8,82,218,223,30,2,0,28,17,18,1,Matches
106,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,22.3,24,17,2,14,8,9,28,32.1,19,427,99,23.2,49,212,166,17,2,0,15,11,21,0,Matches
107,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,13.2,29,11,11,11,7,11,32,34.4,21,189,55,29.1,76,87,26,22,6,0,16,16,19,1,Matches
108,Leander Dendoncker\Leander-Dendoncker,be BEL,MFDF,Wolves,24,1995,29.0,62,37,39,16,7,22,59,37.3,37,538,147,27.3,233,243,62,47,12,0,35,37,92,2,Matches
109,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FW,Watford,25,1994,23.3,29,21,15,8,6,13,66,19.7,53,511,133,26.0,113,208,190,16,0,0,16,24,6,0,Matches
110,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,13.9,25,14,13,10,2,6,22,27.3,16,198,53,26.8,88,92,18,26,11,0,15,16,71,0,Matches
111,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,30.9,83,37,56,20,7,29,63,46.0,34,470,122,26.0,232,151,87,63,9,0,54,44,132,1,Matches
112,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,35.0,30,20,20,9,1,6,15,40.0,9,130,46,35.4,83,36,11,30,16,1,14,34,253,1,Matches
113,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,27.7,31,16,22,9,0,14,30,46.7,16,224,79,35.3,145,72,7,45,21,0,24,40,176,3,Matches
114,Moussa Djenepo\Moussa-Djenepo,ml MLI,MFDF,Southampton,21,1998,10.3,29,18,18,6,5,8,23,34.8,15,265,79,29.8,67,120,78,24,2,0,22,10,12,0,Matches
115,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,29.7,60,30,33,24,3,23,47,48.9,24,348,97,27.9,160,134,54,57,5,0,52,38,73,1,Matches
116,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,32.5,66,46,28,28,10,14,55,25.5,41,900,223,24.8,257,439,204,55,8,0,47,28,42,0,Matches
117,Thomas Doyle\Thomas-Doyle,eng ENG,MFFW,Manchester City,17,2001,0.2,0,0,0,0,0,0,0,,0,5,1,20.0,1,3,1,0,0,0,0,0,0,0,Matches
118,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Aston Villa,29,1990,2.9,9,5,6,2,1,1,13,7.7,12,106,22,20.8,36,58,12,3,0,0,3,5,4,1,Matches
119,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,0.6,2,2,1,1,0,0,1,0.0,1,23,5,21.7,10,10,3,1,0,0,1,1,0,0,Matches
120,Josip Drmić\Josip-Drmic,ch SUI,FWMF,Norwich City,26,1992,6.7,3,3,2,0,1,1,11,9.1,10,116,29,25.0,20,46,50,8,0,0,8,1,4,1,Matches
121,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,35.0,0,0,0,0,0,0,1,0.0,1,9,0,0.0,9,0,0,2,0,0,2,1,1,3,Matches
122,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Norwich City,24,1994,8.0,19,15,10,6,3,7,20,35.0,13,197,54,27.4,52,105,40,18,2,0,16,6,7,0,Matches
123,Shane Duffy\Shane-Duffy,ie IRL,DF,Brighton,27,1992,13.7,16,9,10,5,1,4,18,22.2,14,100,34,34.0,71,27,2,21,8,0,13,21,115,0,Matches
124,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,13.6,28,6,18,6,4,12,20,60.0,8,163,40,24.5,97,58,8,42,10,0,32,19,72,0,Matches
125,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,32.9,40,27,29,11,0,13,39,33.3,26,232,100,43.1,152,68,12,65,33,2,32,48,143,1,Matches
126,Ederson\Ederson,br BRA,GK,Manchester City,25,1993,31.1,1,1,1,0,0,1,2,50.0,1,5,1,20.0,5,0,0,0,0,0,0,2,2,3,Matches
127,John Egan\John-Egan,ie IRL,DF,Sheffield Utd,26,1992,32.4,41,25,30,11,0,18,40,45.0,22,271,97,35.8,191,73,7,65,31,0,34,52,249,4,Matches
128,Harvey Elliot\Harvey-Elliot,eng ENG,DF,Liverpool,16,2003,0.1,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
129,Ahmed Elmohamady\Ahmed-Elmohamady,eg EGY,DF,Aston Villa,31,1987,10.2,23,15,17,5,1,10,21,47.6,11,102,25,24.5,54,37,11,10,5,0,5,11,28,0,Matches
130,Björn Engels\Bjorn-Engels,be BEL,DF,Aston Villa,24,1994,16.1,9,4,7,2,0,5,11,45.5,6,81,29,35.8,54,26,1,26,19,0,7,29,111,2,Matches
131,Christian Eriksen\Christian-Eriksen,dk DEN,MFFW,Tottenham,27,1992,12.2,19,12,12,6,1,5,23,21.7,18,260,55,21.2,83,126,51,19,1,0,18,11,11,0,Matches
132,Jonny Evans\Jonny-Evans,nir NIR,DF,Leicester City,31,1988,34.6,45,30,30,15,0,25,40,62.5,15,260,106,40.8,165,76,19,51,21,0,30,50,249,4,Matches
133,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,34,1985,20.5,0,0,0,0,0,0,3,0.0,3,10,2,20.0,10,0,0,0,0,0,0,1,2,2,Matches
134,Fabinho\Fabinho,br BRA,MF,Liverpool,25,1993,21.1,71,50,24,34,13,22,60,36.7,38,402,129,32.1,140,208,54,33,2,0,31,31,33,0,Matches
135,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,30,1988,0.2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,Matches
136,Kiko Femenía\Kiko-Femenia,es ESP,DF,Watford,28,1991,22.4,54,28,36,15,3,20,62,32.3,42,361,93,25.8,194,133,34,29,1,0,28,32,58,1,Matches
137,Bruno Fernandes\Bruno-Fernandes,pt POR,MF,Manchester Utd,24,1994,10.2,15,11,5,6,4,5,32,15.6,27,213,52,24.4,44,103,66,10,0,0,10,9,11,0,Matches
138,Gedson Fernandes\Gedson-Fernandes,pt POR,MFDF,Tottenham,20,1999,0.7,1,1,1,0,0,0,1,0.0,1,17,5,29.4,7,6,4,1,0,0,1,1,0,0,Matches
139,Federico Fernández\Federico-Fernandez,ar ARG,DF,Newcastle Utd,30,1989,26.1,46,28,37,8,1,24,48,50.0,24,223,69,30.9,164,47,12,56,29,0,27,19,196,1,Matches
140,Fernandinho\Fernandinho,br BRA,DF,Manchester City,34,1985,25.1,41,23,28,13,0,18,44,40.9,26,203,83,40.9,100,84,19,37,17,1,20,23,98,1,Matches
141,Roberto Firmino\Roberto-Firmino,br BRA,FW,Liverpool,27,1991,31.3,33,23,7,15,11,10,33,30.3,23,665,201,30.2,55,292,318,45,5,0,40,7,16,0,Matches
142,John Fleck\John-Fleck,sco SCO,MF,Sheffield Utd,27,1991,26.1,36,24,16,14,6,17,69,24.6,52,510,135,26.5,140,266,104,42,3,0,39,20,22,0,Matches
143,Phil Foden\Phil-Foden,eng ENG,FWMF,Manchester City,19,2000,7.5,15,8,5,7,3,7,17,41.2,10,226,64,28.3,39,97,90,8,0,0,8,4,3,0,Matches
144,Pablo Fornals\Pablo-Fornals,es ESP,MFFW,West Ham,23,1996,21.6,38,27,15,16,7,15,63,23.8,48,557,137,24.6,136,260,161,46,1,0,45,19,8,0,Matches
145,Ben Foster\Ben-Foster,eng ENG,GK,Watford,36,1983,35.0,0,0,0,0,0,0,3,0.0,3,8,0,0.0,8,0,0,1,0,0,1,1,1,2,Matches
146,Dimitri Foulquier\Dimitri-Foulquier,fr FRA,MFDF,Watford,26,1993,0.7,1,1,1,0,0,0,1,0.0,1,18,6,33.3,6,9,3,2,0,0,2,2,1,0,Matches
147,Juan Foyth\Juan-Foyth,ar ARG,DF,Tottenham,21,1998,0.8,7,4,5,1,1,2,3,66.7,1,14,5,35.7,10,4,0,2,0,0,2,2,4,0,Matches
148,Simon Francis\Simon-Francis,eng ENG,DF,Bournemouth,34,1985,10.8,17,12,13,4,0,11,25,44.0,14,107,29,27.1,71,24,12,29,14,0,15,20,91,2,Matches
149,Ryan Fraser\Ryan-Fraser,sco SCO,MFFW,Bournemouth,25,1994,23.0,9,8,3,3,3,4,17,23.5,13,298,65,21.8,79,122,97,28,3,2,25,16,18,0,Matches
150,Fred\Fred,br BRA,MF,Manchester Utd,26,1993,24.0,79,51,41,33,5,29,98,29.6,69,707,194,27.4,289,328,90,64,8,0,56,38,26,0,Matches
151,Ryan Fredericks\Ryan-Fredericks,eng ENG,DF,West Ham,26,1992,23.9,80,44,57,15,8,31,61,50.8,30,308,91,29.5,181,84,43,41,9,1,32,24,87,0,Matches
152,Kieron Freeman\Kieron-Freeman,wal WAL,FW,Sheffield Utd,27,1992,0.1,0,0,0,0,0,0,0,,0,2,0,0.0,0,1,1,0,0,0,0,0,0,0,Matches
153,Luke Freeman\Luke-Freeman,eng ENG,MF,Sheffield Utd,27,1992,4.1,5,4,1,2,2,2,9,22.2,7,97,24,24.7,32,42,23,9,0,0,9,9,6,0,Matches
154,Christian Fuchs\Christian-Fuchs,at AUT,DF,Leicester City,33,1986,8.6,15,9,8,7,0,8,23,34.8,15,144,45,31.3,88,51,5,29,3,0,26,16,39,1,Matches
155,Eric García\Eric-Garcia,es ESP,DF,Manchester City,18,2001,6.8,9,2,6,3,0,5,6,83.3,1,56,16,28.6,36,18,2,7,0,0,7,12,36,0,Matches
156,James Garner\James-Garner,eng ENG,MF,Manchester Utd,18,2001,0.1,0,0,0,0,0,0,1,0.0,1,2,0,0.0,0,2,0,0,0,0,0,0,1,0,Matches
157,Dwight Gayle\Dwight-Gayle,eng ENG,FW,Newcastle Utd,28,1990,7.1,8,7,2,6,0,1,3,33.3,2,85,26,30.6,12,39,34,9,4,0,5,2,5,0,Matches
158,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,27,1992,17.9,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,Matches
159,Jean-Philippe Gbamin\Jean-Philippe-Gbamin,ci CIV,MF,Everton,23,1995,1.5,5,4,2,1,2,1,4,25.0,3,29,13,44.8,13,11,5,2,0,0,2,1,6,0,Matches
160,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,28,1990,35.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,0,1,2,Matches
161,Anwar El Ghazi\Anwar-El-Ghazi,nl NED,FWMF,Aston Villa,24,1995,22.5,17,10,10,5,2,5,23,21.7,18,349,74,21.2,70,163,116,17,1,0,16,11,12,0,Matches
162,Morgan Gibbs-White\Morgan-Gibbs-White,eng ENG,MFFW,Wolves,19,2000,1.4,1,1,0,1,0,0,0,,0,27,10,37.0,5,15,7,2,0,0,2,1,0,0,Matches
163,Billy Gilmour\Billy-Gilmour,sco SCO,MF,Chelsea,18,2001,2.2,6,4,4,2,0,3,6,50.0,3,36,14,38.9,15,20,1,6,0,0,6,3,1,0,Matches
164,Olivier Giroud\Olivier-Giroud,fr FRA,FW,Chelsea,32,1986,9.5,3,2,0,3,0,0,8,0.0,8,157,48,30.6,9,82,66,17,6,0,11,2,10,0,Matches
165,Ben Godfrey\Ben-Godfrey,eng ENG,DF,Norwich City,21,1998,27.4,33,21,25,7,1,12,23,52.2,11,211,74,35.1,144,61,6,41,27,0,14,23,146,3,Matches
166,André Gomes\Andre-Gomes,pt POR,MF,Everton,26,1993,13.2,29,23,13,12,4,7,56,12.5,49,309,78,25.2,98,177,34,23,3,0,20,4,8,0,Matches
167,Angel Gomes\Angel-Gomes,eng ENG,MF,Manchester Utd,18,2000,0.2,0,0,0,0,0,0,0,,0,11,1,9.1,6,4,1,1,0,0,1,0,0,0,Matches
168,Joe Gomez\Joe-Gomez,eng ENG,DF,Liverpool,22,1997,19.3,24,13,15,9,0,8,18,44.4,10,134,52,38.8,82,48,4,23,8,0,15,35,78,1,Matches
169,Anthony Gordon\Anthony-Gordon,eng ENG,MF,Everton,18,2001,4.1,7,5,4,3,0,1,13,7.7,12,108,21,19.4,31,57,20,9,1,0,8,8,3,0,Matches
170,Dan Gosling\Dan-Gosling,eng ENG,MF,Bournemouth,29,1990,12.2,26,18,16,6,4,7,26,26.9,19,306,81,26.5,120,126,60,36,11,0,25,18,23,0,Matches
171,Andre Gray\Andre-Gray,eng ENG,FW,Watford,28,1991,8.1,5,5,0,1,4,1,1,100.0,0,157,43,27.4,13,60,84,3,1,0,2,1,2,0,Matches
172,Demarai Gray\Demarai-Gray,eng ENG,MFFW,Leicester City,23,1996,6.0,8,5,6,1,1,3,13,23.1,10,127,38,29.9,32,63,32,10,0,0,10,4,2,0,Matches
173,Jack Grealish\Jack-Grealish,eng ENG,FWMF,Aston Villa,23,1995,32.9,33,26,13,12,8,7,29,24.1,22,546,141,25.8,154,221,171,53,12,0,41,20,11,1,Matches
174,Mason Greenwood\Mason-Greenwood,eng ENG,FW,Manchester Utd,17,2001,12.1,17,11,6,5,6,5,14,35.7,9,167,51,30.5,41,71,55,12,0,0,12,5,3,0,Matches
175,Arnaut Groeneveld\Arnaut-Groeneveld,nl NED,MF,Bournemouth,22,1997,7.0,6,5,3,2,1,2,7,28.6,5,78,32,41.0,28,27,23,3,0,0,3,8,8,1,Matches
176,Pascal Groß\Pascal-Gross,de GER,FWMF,Brighton,28,1991,19.2,32,20,5,19,8,8,31,25.8,23,374,100,26.7,75,184,115,27,2,0,25,9,11,0,Matches
177,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,32,1987,32.0,0,0,0,0,0,0,1,0.0,1,2,1,50.0,2,0,0,0,0,0,0,0,0,2,Matches
178,Mattéo Guendouzi\Matteo-Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,24,13,11,9,4,10,36,27.8,26,384,109,28.4,158,175,51,40,7,0,33,30,48,0,Matches
179,Frederic Guilbert\Frederic-Guilbert,fr FRA,DF,Aston Villa,24,1994,21.1,77,38,48,21,8,33,72,45.8,39,398,110,27.6,218,129,51,62,13,0,49,44,85,1,Matches
180,İlkay Gündoğan\Ilkay-Gundogan,de GER,MF,Manchester City,28,1990,21.2,24,17,5,12,7,9,43,20.9,34,240,69,28.8,59,128,53,23,4,0,19,30,18,0,Matches
181,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,23,1996,10.0,0,0,0,0,0,0,1,0.0,1,3,1,33.3,3,0,0,0,0,0,0,0,0,0,Matches
182,Sébastien Haller\Sebastien-Haller,fr FRA,FW,West Ham,25,1994,24.3,17,14,7,8,2,3,28,10.7,25,562,119,21.2,40,301,221,34,7,0,27,8,22,1,Matches
183,Grant Hanley\Grant-Hanley,sco SCO,DF,Norwich City,27,1991,14.0,27,17,16,11,0,11,19,57.9,8,143,50,35.0,97,43,3,34,20,0,14,30,103,1,Matches
184,Kortney Hause\Kortney-Hause,eng ENG,DF,Aston Villa,24,1995,17.0,27,22,23,2,2,11,22,50.0,11,182,73,40.1,112,59,11,45,21,1,24,20,114,5,Matches
185,Isaac Hayden\Isaac-Hayden,eng ENG,MF,Newcastle Utd,24,1995,24.5,63,37,35,20,8,12,45,26.7,33,472,126,26.7,212,200,60,38,8,0,30,36,34,1,Matches
186,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,33,1986,19.9,0,0,0,0,0,0,2,0.0,2,3,0,0.0,3,0,0,0,0,0,0,0,1,0,Matches
187,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22,1997,33.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,1,0,0,1,0,1,0,Matches
188,Jordan Henderson\Jordan-Henderson,eng ENG,MF,Liverpool,29,1990,24.9,65,36,22,31,12,23,63,36.5,40,532,169,31.8,134,287,111,37,5,0,32,29,27,0,Matches
189,Jeff Hendrick\Jeff-Hendrick,ie IRL,MF,Burnley,27,1992,21.5,18,10,7,7,4,2,30,6.7,28,356,69,19.4,83,175,98,35,7,0,28,19,19,0,Matches
190,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,32,1987,3.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0,0,Matches
191,Javier Hernández\Javier-Hernandez,mx MEX,FW,West Ham,31,1988,1.2,0,0,0,0,0,0,1,0.0,1,26,6,23.1,0,7,19,0,0,0,0,0,0,0,Matches
192,Onel Hernández\Onel-Hernandez,cu CUB,FWMF,Norwich City,26,1993,13.5,34,26,14,10,10,12,24,50.0,12,211,77,36.5,79,75,57,19,1,1,18,16,7,0,Matches
193,Son Heung-min\Son-Heung-min,kr KOR,FWMF,Tottenham,27,1992,24.7,29,19,13,14,2,10,61,16.4,51,509,126,24.8,116,234,159,25,0,0,25,17,17,0,Matches
194,Rob Holding\Rob-Holding,eng ENG,DF,Arsenal,23,1995,3.5,3,2,2,1,0,0,1,0.0,1,29,10,34.5,17,8,4,7,2,0,5,5,20,1,Matches
195,José Holebas\Jose-Holebas,gr GRE,DF,Watford,35,1984,11.4,25,12,20,5,0,6,25,24.0,19,179,59,33.0,94,63,22,23,3,0,20,2,40,0,Matches
196,Mason Holgate\Mason-Holgate,eng ENG,DF,Everton,22,1996,22.7,49,27,33,15,1,20,36,55.6,16,238,75,31.5,146,79,13,32,16,1,16,32,144,1,Matches
197,Nathan Holland\Nathan-Holland,eng ENG,MF,West Ham,21,1998,0.4,1,0,1,0,0,0,0,,0,13,4,30.8,5,4,4,1,0,0,1,0,0,0,Matches
198,Conor Hourihane\Conor-Hourihane,ie IRL,MF,Aston Villa,28,1991,14.4,20,13,5,12,3,8,22,36.4,14,205,36,17.6,64,96,45,23,5,0,18,10,20,0,Matches
199,Callum Hudson-Odoi\Callum-Hudson-Odoi,eng ENG,FW,Chelsea,18,2000,9.1,8,5,5,2,1,1,10,10.0,9,116,27,23.3,22,57,37,13,0,0,13,1,6,0,Matches
200,Will Hughes\Will-Hughes,eng ENG,MFFW,Watford,24,1995,22.1,74,44,26,35,13,24,77,31.2,53,614,162,26.4,169,308,137,60,7,0,53,31,24,0,Matches
201,Pierre Højbjerg\Pierre-Hojbjerg,dk DEN,MF,Southampton,23,1995,29.4,87,54,41,40,6,34,97,35.1,63,624,205,32.9,202,337,85,62,5,0,57,45,78,2,Matches
202,Jordon Ibe\Jordon-Ibe,eng ENG,DF,Bournemouth,23,1995,0.6,3,3,3,0,0,0,0,,0,11,3,27.3,5,5,1,0,0,0,0,0,0,0,Matches
203,Adam Idah\Adam-Idah,ie IRL,FWMF,Norwich City,18,2001,2.3,4,4,2,1,1,1,3,33.3,2,32,8,25.0,8,13,11,6,0,0,6,0,1,0,Matches
204,Odion Ighalo\Odion-Ighalo,ng NGA,FW,Manchester Utd,30,1989,1.0,1,1,0,1,0,1,2,50.0,1,20,3,15.0,4,5,11,1,1,0,0,0,0,0,Matches
205,Kelechi Iheanacho\Kelechi-Iheanacho,ng NGA,FWMF,Leicester City,22,1996,9.7,5,4,0,3,2,3,10,30.0,7,173,50,28.9,20,78,75,8,1,0,7,3,5,0,Matches
206,Danny Ings\Danny-Ings,eng ENG,FW,Southampton,27,1992,28.2,47,29,16,22,9,15,66,22.7,51,815,212,26.0,143,347,325,61,5,0,56,12,23,0,Matches
207,Alex Iwobi\Alex-Iwobi,ng NGA,MFFW,Everton,23,1996,17.1,26,14,11,13,2,10,33,30.3,23,358,94,26.3,95,177,86,18,3,0,15,12,11,1,Matches
208,Phil Jagielka\Phil-Jagielka,eng ENG,DF,Sheffield Utd,36,1982,2.7,6,4,4,2,0,1,6,16.7,5,26,9,34.6,18,8,0,9,5,0,4,4,26,0,Matches
