Rk,Player,Nation,Pos,Squad,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
315,Troy Parrott\Troy-Parrott,ie IRL,FW,Tottenham,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
316,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,20.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
317,Pedro\Pedro,es ESP,FWMF,Chelsea,3.5,0,0,0,12,4,0,33.3,3.46,1.15,0.00,0.00,1.2,1.2,0.10,-1.2,-1.2,Matches
318,Nicolas Pépé\Nicolas-Pepe,ci CIV,FW,Arsenal,11.4,2,1,1,31,9,4,29.0,2.73,0.79,0.03,0.11,3.4,2.6,0.08,-1.4,-1.6,Matches
319,Andreas Pereira\Andreas-Pereira,br BRA,MF,Manchester Utd,12.8,1,0,0,27,10,3,37.0,2.11,0.78,0.04,0.10,1.1,1.1,0.04,-0.1,-0.1,Matches
320,Ricardo Pereira\Ricardo-Pereira,pt POR,DFFW,Leicester City,19.0,2,0,0,9,3,0,33.3,0.47,0.16,0.22,0.67,0.6,0.6,0.07,+1.4,+1.4,Matches
321,Roberto Pereyra\Roberto-Pereyra,ar ARG,MF,Watford,9.7,1,1,1,12,3,3,25.0,1.24,0.31,0.00,0.00,1.8,1.0,0.09,-0.8,-1.0,Matches
322,Ayoze Pérez\Ayoze-Perez,es ESP,FW,Leicester City,11.5,4,0,0,23,11,0,47.8,2.00,0.95,0.17,0.36,3.0,3.0,0.13,+1.0,+1.0,Matches
323,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,20.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
324,Erik Pieters\Erik-Pieters,nl NED,DF,Burnley,13.7,0,0,0,7,1,0,14.3,0.51,0.07,0.00,0.00,0.2,0.2,0.02,-0.2,-0.2,Matches
325,Paul Pogba\Paul-Pogba,fr FRA,MF,Manchester Utd,5.8,0,0,1,13,4,1,30.8,2.25,0.69,0.00,0.00,1.6,0.9,0.07,-1.6,-0.9,Matches
326,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,20.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
327,Dennis Praet\Dennis-Praet,be BEL,MF,Leicester City,6.2,0,0,0,7,0,0,0.0,1.13,0.00,0.00,,0.5,0.5,0.07,-0.5,-0.5,Matches
328,Sebastian Prödl\Sebastian-Prodl,at AUT,DFMF,Watford,0.6,0,0,0,2,0,0,0.0,3.16,0.00,0.00,,0.1,0.1,0.04,-0.1,-0.1,Matches
329,Davy Pröpper\Davy-Propper,nl NED,MF,Brighton,17.0,1,0,0,24,7,0,29.2,1.41,0.41,0.04,0.14,1.2,1.2,0.05,-0.2,-0.2,Matches
330,Teemu Pukki\Teemu-Pukki,fi FIN,FW,Norwich City,19.9,9,0,0,54,26,0,48.1,2.72,1.31,0.17,0.35,7.8,7.8,0.14,+1.2,+1.2,Matches
331,Christian Pulisic\Christian-Pulisic,us USA,MF,Chelsea,11.2,5,0,0,34,15,0,44.1,3.03,1.34,0.15,0.33,5.0,5.0,0.15,0.0,0.0,Matches
332,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,0.2,0,0,0,1,1,0,100.0,6.43,6.43,0.00,0.00,0.0,0.0,0.03,0.0,0.0,Matches
333,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,20.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
334,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,19.3,12,4,6,60,24,14,40.0,3.12,1.25,0.13,0.33,12.1,7.6,0.13,-0.1,+0.4,Matches
335,Nathan Redmond\Nathan-Redmond,eng ENG,MF,Southampton,16.9,2,0,0,32,11,0,34.4,1.89,0.65,0.06,0.18,3.2,3.2,0.10,-1.2,-1.2,Matches
336,Declan Rice\Declan-Rice,eng ENG,DF,West Ham,19.0,0,0,0,13,5,0,38.5,0.68,0.26,0.00,0.00,0.5,0.5,0.04,-0.5,-0.5,Matches
337,Richarlison\Richarlison,br BRA,FW,Everton,19.2,6,0,0,50,16,0,32.0,2.60,0.83,0.12,0.38,4.0,4.0,0.08,+2.0,+2.0,Matches
338,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,15.4,0,0,0,7,2,1,28.6,0.45,0.13,0.00,0.00,0.2,0.2,0.03,-0.2,-0.2,Matches
339,Jaïro Riedewald\Jairo-Riedewald,nl NED,DF,Crystal Palace,2.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
340,Matt Ritchie\Matt-Ritchie,sco SCO,MF,Newcastle Utd,3.0,0,0,0,3,0,0,0.0,1.00,0.00,0.00,,0.1,0.1,0.02,-0.1,-0.1,Matches
341,Roberto\Roberto,es ESP,GK,West Ham,7.6,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
342,Patrick Roberts\Patrick-Roberts,eng ENG,FWMF,Norwich City,0.3,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
343,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,18.2,1,0,0,11,4,0,36.4,0.60,0.22,0.09,0.25,0.9,0.9,0.08,+0.1,+0.1,Matches
344,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,7.1,1,0,0,13,3,0,23.1,1.83,0.42,0.08,0.33,2.1,2.1,0.16,-1.1,-1.1,Matches
345,Rodri\Rodri,es ESP,MF,Manchester City,14.9,2,0,0,9,6,0,66.7,0.60,0.40,0.22,0.33,0.4,0.4,0.05,+1.6,+1.6,Matches
346,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,8.1,3,0,0,18,7,0,38.9,2.23,0.87,0.17,0.43,1.7,1.7,0.09,+1.3,+1.3,Matches
347,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Manchester Utd,1.3,0,0,0,1,0,0,0.0,0.75,0.00,0.00,,0.1,0.1,0.11,-0.1,-0.1,Matches
348,Oriol Romeu\Oriol-Romeu,es ESP,MF,Southampton,12.5,0,0,0,5,0,0,0.0,0.40,0.00,0.00,,0.2,0.2,0.04,-0.2,-0.2,Matches
349,Danny Rose\Danny-Rose,eng ENG,DFMF,Tottenham,9.2,0,0,0,2,0,0,0.0,0.22,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
350,Antonio Rüdiger\Antonio-Rudiger,de GER,DF,Chelsea,4.5,0,0,0,2,0,0,0.0,0.44,0.00,0.00,,0.1,0.1,0.03,-0.1,-0.1,Matches
351,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,20.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
352,Allan Saint-Maximin\Allan-Saint-Maximin,fr FRA,FWMF,Newcastle Utd,9.1,1,0,0,18,9,0,50.0,1.97,0.98,0.06,0.11,1.5,1.5,0.08,-0.5,-0.5,Matches
353,Romain Saïss\Romain-Saiss,ma MAR,DF,Wolves,13.1,2,0,0,14,7,0,50.0,1.07,0.54,0.14,0.29,1.7,1.7,0.12,+0.3,+0.3,Matches
354,Bukayo Saka\Bukayo-Saka,eng ENG,MF,Arsenal,7.5,0,0,0,4,1,0,25.0,0.53,0.13,0.00,0.00,0.6,0.6,0.15,-0.6,-0.6,Matches
